CST5,"Plasma proteins, Predicted secreted proteins"
CST7,"Plasma proteins, Predicted secreted proteins"
CST8,Predicted secreted proteins
CST9,Predicted secreted proteins
CST9L,Predicted secreted proteins
CST11,Predicted secreted proteins
CSTF1,Predicted intracellular proteins
CSTL1,"Predicted intracellular proteins, Predicted secreted proteins"
CTCFL,"Predicted intracellular proteins, Predicted membrane proteins, Transcription factors"
CTNNBL1,"Cancer-related genes, Predicted intracellular proteins"
CTSA,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"
CTSZ,"Enzymes, Plasma proteins, Predicted secreted proteins"
CYP24A1,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
DBNDD2,Predicted intracellular proteins
DDRGK1,Predicted intracellular proteins
DDX27,"Enzymes, Predicted intracellular proteins"
DEFB115,Predicted secreted proteins
DEFB116,Predicted secreted proteins
DEFB118,Predicted secreted proteins
DEFB119,Predicted secreted proteins
DEFB121,Predicted secreted proteins
DEFB123,Predicted secreted proteins
DEFB124,Predicted secreted proteins
DEFB125,Predicted secreted proteins
DEFB126,"Disease related genes, Predicted secreted proteins"
DEFB127,Predicted secreted proteins
DEFB128,Predicted secreted proteins
DEFB129,Predicted secreted proteins
DEFB132,Predicted secreted proteins
DHX35,"Enzymes, Plasma proteins, Predicted intracellular proteins"
DIDO1,"Plasma proteins, Predicted intracellular proteins"
DLGAP4,Predicted intracellular proteins
DNAJC5,"Disease related genes, Predicted membrane proteins"
DNMT3B,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Transcription factors"
DNTTIP1,"Plasma proteins, Predicted intracellular proteins"
DOK5,Predicted intracellular proteins
DPM1,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
DSN1,"Plasma proteins, Predicted intracellular proteins"
DSTN,"Plasma proteins, Predicted intracellular proteins"
DTD1,Predicted intracellular proteins
DUSP15,"Enzymes, Predicted intracellular proteins"
DYNLRB1,"Plasma proteins, Predicted intracellular proteins"
DZANK1,Predicted intracellular proteins
E2F1,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"
EBF4,"Predicted intracellular proteins, Transcription factors"
EDEM2,Predicted secreted proteins
EDN3,"Disease related genes, Predicted secreted proteins"
EEF1A2,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
EFCAB8,Predicted intracellular proteins
EIF2S2,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"
EIF6,"Plasma proteins, Predicted intracellular proteins"
ELMO2,"Disease related genes, Predicted intracellular proteins"
EMILIN3,Predicted secreted proteins
ENTPD6,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
EPB41L1,"Disease related genes, Predicted intracellular proteins"
EPPIN,"Predicted intracellular proteins, Predicted secreted proteins"
ERGIC3,"Predicted intracellular proteins, Predicted membrane proteins"
ESF1,Predicted intracellular proteins
EYA2,"Enzymes, Plasma proteins, Predicted intracellular proteins"
FAM83C,"Plasma proteins, Predicted intracellular proteins"
FAM83D,Predicted intracellular proteins
FAM110A,Predicted intracellular proteins
FAM209A,Predicted membrane proteins
FAM209B,Predicted membrane proteins
FAM210B,"Predicted intracellular proteins, Predicted membrane proteins"
FAM217B,Predicted intracellular proteins
FASTKD5,Predicted intracellular proteins
FERMT1,"Disease related genes, Predicted intracellular proteins"
FITM2,Predicted membrane proteins
FKBP1A,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
FLRT3,"Disease related genes, Predicted membrane proteins"
FNDC11,Predicted intracellular proteins
FOXA2,"Cancer-related genes, Predicted intracellular proteins, Transcription factors"
FOXS1,"Predicted intracellular proteins, Transcription factors"
GATA5,"Disease related genes, Predicted intracellular proteins, Transcription factors"
GCNT7,"Predicted intracellular proteins, Predicted secreted proteins"
GDAP1L1,"Predicted intracellular proteins, Predicted membrane proteins"
GDF5,"Disease related genes, Plasma proteins, Predicted secreted proteins"
GDF5OS,Predicted intracellular proteins
GFRA4,Predicted secreted proteins
GGT7,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
GGTLC1,Predicted intracellular proteins
GHRH,Predicted secreted proteins
GID8,Predicted intracellular proteins
GINS1,Predicted intracellular proteins
GMEB2,"Predicted intracellular proteins, Transcription factors"
GNAS,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted secreted proteins"
GNRH2,Predicted secreted proteins
GPCPD1,"Enzymes, Predicted intracellular proteins"
